Page,Returning Visitor,New Visitor,Total Visitors,% Returning Visitor,Unique page views,Time on page (min),Bounce rate
¿Cómo analizar un diamante?,11,92,103,"0,107",103,"2,05","64,29 %"
¿Cómo cuidas el planeta? Apps ecofriendly,17,78,95,"0,179",92,"2,35","50,00 %"
¿Cómo desinfectar los alimentos en casa?,118,1167,1285,"0,092",1293,"2,58","57,33 %"
¿Conseguiremos la nueva revolución textil?,40,83,123,"0,325",132,"1,95","54,05 %"
¿Cumples con tu dosis diaria de frutas y verduras?,80,361,441,"0,181",447,"2,15","50,79 %"
¿Digital o en papel? Hay una alternativa ecofriendly,00,06,06,"0,000",06,"0,00","100,00 %"
¿Es el consumo de carne en España excesivo?,29,132,161,"0,180",163,"1,63","86,96 %"
¿Es más caro seguir una dieta vegana?,29,86,115,"0,252",115,"3,28","58,62 %"
¿Está limpia el agua de tu playa favorita?,14,95,109,"0,128",112,"2,18","100,00 %"
¿Existe relación entre contaminación y salud mental?,23,54,77,"0,299",92,"1,67","85,00 %"
¿Industrial o natural? El lado B de la cosmética,26,155,181,"0,144",183,"1,97","67,65 %"
¿Por qué hablamos de biodiversidad?,17,69,86,"0,198",89,"2,10","66,67 %"
¿Qué árbol de navidad escoges?,32,267,299,"0,107",298,"1,18","33,33 %"
¿Qué trae de nuevo el borrador de Ley de Protección de los animales?,03,32,35,"0,086",40,"6,93","64,29 %"
¿Sabes leer rótulos alimenticios?,63,249,312,"0,202",327,"1,43","58,62 %"
¿Serán los centennials la esperanza que el mundo necesita?,11,60,71,"0,155",66,"2,45","100,00 %"
‘Rebuilding Paradise’: historia de un incendio,00,29,29,"0,000",29,"2,75","0,00 %"
La inacción climática costaría al mundo cientos de billones de dólares hasta 2100,06,37,43,"0,140",43,"1,33","100,00 %"
“Los planes de rescate económico de Covid-19 deben ser verdes”,23,34,57,"0,404",63,"1,52","54,55 %"
170 académicos holandeses firman un manifiesto con las 5 políticas clave post Covid-19,20,112,132,"0,152",132,"3,75","86,25 %"
20 minutos para un cuerpo más saludable,49,193,242,"0,202",235,"1,50","81,82 %"
24 de abril: nueva acción global por el clima,03,06,09,"0,333",14,"2,42","100,00 %"
4 alimentos inteligentes para mejorar la calidad de vida y evitar enfermedades crónicas,2686,72938,75624,"0,036",76664,"3,17","93,23 %"
"5 de junio, Día mundial del medio ambiente",03,29,32,"0,094",32,"1,33","0,00 %"
70% de los consumidores están dispuestos a pagar más por un producto sostenible,29,203,232,"0,125",287,"1,92","80,23 %"
Abre el primer supermercado plastic free en España,132,1144,1276,"0,103",1301,"1,83","76,24 %"
Adiós a los plásticos de un solo uso,20,86,106,"0,189",120,"1,45","80,70 %"
"Adiós al reciclaje en contenedores, llega a Barcelona el primer sistema de recogida de residuos puerta a puerta de bolsas con chip",40,166,206,"0,194",206,"1,43","100,00 %"
